,PDB_ID,Energy_torsion,Kn_electrostatic,Energy_ionisation
127,1lp9,18.3276,-0.861111,1.72251
129,6bj2,24.7575,-1.18379,0.840457
131,5nmf,26.1368,-0.36381,1.03718
133,4g9f,9.42406,-1.33206,1.46637
135,3uts,34.0692,-0.767732,1.0935
137,3o4l,39.3734,-0.450238,1.24161
139,5tez,33.7554,-0.580882,1.08111
141,5c08,47.0086,-0.900612,1.29055
143,5c0a,26.8649,-0.269984,0.91142
145,5e6i,53.2008,-0.825184,1.13516
147,4ftv,20.3814,-0.536836,0.995615
149,6rp9,6.86734,-0.0770312,1.29916
151,6rpb,7.00713,-0.348514,1.29957
153,5m01,6.69001,-1.95371,0.924466
155,3vxr,15.2463,-0.800011,0.689625
157,5c0b,34.2846,-0.408568,1.12782
159,1kj2,50.9025,-1.69882,0.310585
161,3utt,50.7135,-0.561602,0.972276
163,6amu,10.3974,-0.48195,1.77594
165,5wkf,21.4548,-1.04167,0.646406
167,4mxq,19.084,-1.16256,0.747333
169,2ak4,20.7258,-0.695478,0.478594
171,4n5e,16.789,-0.733691,0.648966
173,2j8u,8.58004,-0.938378,1.28715
175,3dxa,60.9834,-0.931481,0.774521
177,2f53,25.1994,-0.53777,1.22351
179,4g8g,32.4212,-1.55994,0.854609
181,5tje,33.1739,-2.02079,0.8936
183,2e7l,18.2336,-0.508322,0.641311
185,7n1e,24.0698,0.440615,1.09685
187,6eqa,51.9727,-0.50206,1.001
189,2vlk,26.5335,-0.42914,0.974872
191,3mv8,13.5272,-1.89339,1.47581
193,6uon,40.0891,-1.42383,0.418589
195,5e9d,15.647,-0.529211,1.23365
197,2p5e,18.8236,-0.625336,1.12918
199,6dkp,15.0738,-0.681221,1.45533
201,3qfj,27.4416,-0.481014,1.07674
203,2ckb,68.7084,0.513661,1.07458
205,1mwa,44.7366,-0.00532337,0.953789
207,3qeq,17.3851,-0.890375,1.14691
209,5c0c,26.4257,-0.628706,0.910308
211,6rpa,8.33122,-0.31796,0.890284
213,6tro,15.8966,-1.36101,1.47863
215,2ypl,15.2062,-0.59228,0.54874
217,2p5w,19.0611,-0.455075,1.64662
219,2ol3,47.4488,-0.425624,0.558701
221,2vlr,13.4241,-0.591998,0.854645
223,5nht,21.5387,-0.141217,1.14418
225,1mi5,25.9913,-1.42695,1.47678
227,3rgv,72.112,-1.0796,0.66776
229,5wlg,8.991,-1.55426,0.930917
231,3kxf,18.1286,-1.10335,0.395202
233,3tfk,28.3664,-0.661115,0.976536
235,4nhu,13.918,-0.69902,0.916371
237,3tf7,80.0617,1.42837,1.60345
239,3d3v,40.3598,-0.734638,1.05088
241,2bnr,27.1516,-0.587283,1.36778
243,3gsn,42.5498,-0.257394,1.46596
245,3e3q,34.9517,-0.225843,0.522715
247,5m02,10.6946,-2.01536,0.908716
249,5eu6,13.9739,-0.986954,1.03157
251,6am5,13.8799,-0.0633719,1.24143
253,5d2l,61.669,-0.375787,1.25411
255,3e2h,43.0981,-0.175798,0.726861
257,6mtm,24.5693,-0.589614,0.706695
259,3kpr,12.5804,-1.02836,1.24545
261,5c09,28.0022,-0.537765,1.3201
263,3qdg,20.2425,-0.692678,1.86263
265,5yxn,21.9019,-1.55867,1.53947
267,1bd2,26.4193,-0.892823,1.5731
269,2bnq,33.7936,-0.589097,1.3672
271,4mvb,15.838,-0.394894,0.893339
273,3mv9,71.6692,-0.669619,0.665326
275,2uwe,8.19166,-0.972734,1.44831
277,4mnq,41.8905,-0.308683,1.37945
279,1nam,51.0803,-0.199614,0.315716
281,5hhm,9.20494,-0.462665,1.0146
283,5nme,27.791,-0.666167,0.973221
285,5jzi,15.127,-1.35175,2.223
287,1qse,46.8088,-1.13637,1.03281
289,1qsf,51.6012,-0.847618,1.0281
291,4qrp,15.6498,-0.184445,0.723543
293,4eup,26.5668,-0.50798,1.124
295,6vrn,24.0919,-0.840199,2.40037
297,5til,17.4889,-1.97494,0.919276
299,6l9l,14.5415,-0.832887,1.41837
301,3pqy,34.5176,-1.00048,1.6897
303,1qrn,38.2242,-1.11686,1.05734
305,3hg1,67.6894,-0.425998,0.93733
