,Pdb,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,torsional clash,electrostatic kon,energy Ionisation
24,3rgv,-13.08,-1.60792,20.4411,-13.8657,0.561368,0.308772,-0.786329,0.0
25,1qrn,-16.934,-3.80687,24.9401,-21.2924,7.37196,0.346516,-0.613772,1.11022e-16
26,2vlj,-13.9379,-0.442553,18.9575,-16.8225,1.99667,0.493004,-0.357335,0.0602388
27,4prh,-21.3832,-4.73829,32.9206,-24.3018,17.0093,0.238612,-1.02078,0.0
28,6vqo,-12.1871,-0.882876,16.2065,-14.6066,1.63341,0.207675,-0.433414,2.77556e-17
29,6rpa,-22.3734,0.127611,30.347,-27.692,1.68785,0.254259,-0.0232745,0.0779478
30,5m00,-13.7533,-6.04966,22.905,-14.7369,1.38419,0.243364,-1.36536,0.0629174
31,5nmf,-20.3332,-0.940248,30.3359,-22.9643,3.05156,1.37053,-0.169507,-5.55112e-17
32,5m02,-16.4005,-6.17542,27.1479,-17.9777,3.35923,0.378247,-1.15314,0.0715607
33,5tje,-15.7455,-5.92227,24.79,-17.2399,4.685,0.269483,-1.01458,0.0372547
34,5c07,-14.2253,-1.91953,17.7322,-18.7746,10.8858,1.44194,-0.481841,-2.77556e-17
35,3uts,-11.8819,-0.559738,15.6344,-15.3262,9.4875,1.42396,-0.185467,-1.11022e-16
36,5e6i,-18.6661,-1.64706,23.7543,-25.4721,6.17844,1.16778,-0.378021,0.00116297
37,2p5e,-22.9579,-1.96963,26.2695,-31.4815,4.75458,0.194436,-0.364569,0.00456708
38,2f54,-20.7961,-0.54374,26.5772,-26.8525,4.67442,1.34524,-0.207734,0.00974865
39,3d3v,-17.7262,-3.2541,25.0008,-22.2074,1.83545,0.297329,-0.486373,0.0201998
40,2f53,-21.9122,-1.32668,26.1246,-29.2669,2.9663,0.704882,-0.246622,0.0028685
41,6g9q,-13.2278,-4.04167,19.8886,-15.2964,0.59769,0.489053,-0.95817,0.0500388
42,6l9l,-10.3433,-0.291186,13.7421,-12.9537,2.13501,0.212751,-0.0896729,0.0425193
43,2j8u,-18.4279,-0.859423,22.27,-24.5698,8.97295,0.312681,-0.301937,0.00561116
44,5hyj,-15.0316,-1.57459,19.0892,-19.2492,8.7272,1.56087,-0.466913,1.11022e-16
45,6vrn,-11.9678,-1.78169,16.0301,-14.4414,2.51749,0.303768,-0.536827,0.0352621
46,2e7l,-17.0146,-2.30269,21.1309,-21.6125,5.28668,0.430013,-0.42348,0.0
47,2p5w,-20.5787,-0.981628,24.7797,-28.0808,2.25884,0.351798,-0.251789,0.0189048
48,6uon,-11.1077,-3.57332,19.6723,-12.2501,2.95223,0.464195,-0.660321,0.0
49,4ftv,-19.3121,-2.71177,26.3843,-25.3204,6.37672,0.368747,-0.231312,5.55112e-17
50,5tez,-15.5203,-1.62359,17.4377,-22.8981,0.879245,0.560881,-0.529418,0.00717246
51,5euo,-18.9235,-1.03272,24.5382,-24.0047,5.32618,0.882765,-0.263831,0.039956
52,5til,-15.3718,-5.68083,24.0199,-17.1634,2.0396,0.320894,-1.19979,0.0371808
53,3qdj,-16.4256,0.336078,23.5424,-19.8826,0.999177,0.537039,-0.082123,0.0111233
54,3tpu,-19.3109,-2.6211,25.1168,-24.7367,17.7881,0.218696,-0.207765,0.0
55,5wkh,-18.8381,-4.66141,26.0622,-23.6497,18.7484,2.23469,-0.852943,0.0
56,7n1f,-15.0041,-5.89208,24.7557,-17.5865,1.82854,0.152556,-1.22825,1.11022e-16
57,5hhm,-14.8435,-0.967511,20.9998,-18.1133,5.38213,0.319992,-0.193237,0.0305855
58,3utt,-11.6964,-2.07021,17.8045,-13.6111,15.2967,3.69051,-0.374038,1.11022e-16
59,3mv9,-18.8791,-4.82352,28.2409,-20.6828,18.3148,1.46382,-0.675099,0.0709026
60,2ol3,-12.6718,-2.86785,18.9187,-15.1429,0.581406,0.249997,-0.482824,5.55112e-17
61,3qdm,-15.8412,-1.71702,21.8419,-20.0977,2.3756,0.955625,-0.667853,0.031067
62,3vxm,-14.3228,-1.56521,21.2034,-17.5947,3.97488,1.05403,-0.463689,2.22045e-16
63,4n0c,-13.0494,-0.782369,17.3326,-17.1791,3.08185,0.157332,-0.473234,0.0
64,4eup,-12.4276,-1.14077,18.704,-15.8017,1.04468,0.285152,-0.584967,0.0136794
65,5nht,-15.4833,-2.87039,20.3535,-20.7132,4.40754,0.174496,-0.344948,0.0146756
66,4mvb,-13.3582,-0.0460059,18.9743,-16.0837,1.22628,0.188647,-0.408183,0.0
67,5nqk,-16.6686,-1.58983,22.6014,-23.3438,14.9404,0.438725,-0.627202,0.0
68,5wlg,-17.527,-2.33481,24.7974,-20.6794,1.74577,0.148498,-0.770239,0.0285386
69,1bd2,-17.7034,-4.47388,22.7681,-23.0048,6.76544,0.437152,-0.643737,-2.22045e-16
70,4g9f,-15.2452,-1.65855,23.6132,-18.8742,2.17162,0.0740231,-0.555924,1.11022e-16
71,5c0c,-15.0406,-1.41769,19.0656,-19.676,3.98135,1.13509,-0.56732,-2.77556e-17
72,3qeq,-15.0176,-1.51397,19.8122,-18.9792,1.61514,0.264238,-0.835853,0.0162888
73,6avf,-15.0785,-7.81581,20.763,-19.4485,8.69331,0.502766,-0.810892,0.0955165
74,2uwe,-20.4543,-0.280449,24.2908,-27.9047,22.3196,0.380803,-0.468333,0.0238336
75,3vxr,-18.8831,-3.7803,23.0979,-23.8896,18.891,0.32176,-0.54794,2.77556e-17
76,7jwj,-11.524,-3.49941,19.6309,-12.8811,0.595943,0.0736091,-1.04576,0.0887618
77,2pye,-15.6416,-1.07973,19.9858,-19.7181,0.592189,0.0824707,-0.395092,0.0
78,2oi9,-15.0558,-1.43337,20.1221,-18.2521,1.74867,0.156643,-0.331986,0.0164656
79,5c0b,-15.8332,-2.06312,20.6044,-19.14,8.71967,4.19908,-0.559765,0.0
80,6mtm,-14.579,-1.09038,21.3249,-19.3814,0.4291,0.694337,0.022687,0.0
81,2bnq,-19.6689,-0.446171,24.9501,-25.2964,3.11831,0.591454,-0.302182,0.044348
82,7n1e,-14.0144,-0.55905,19.4434,-17.38,1.58524,0.604771,0.103238,0.0202685
83,4qok,-18.5868,-1.7864,26.512,-23.2814,2.72308,0.767112,-0.28405,4.85723e-17
84,4pri,-18.9474,-5.31148,29.4944,-20.2351,19.2704,1.50607,-1.01405,0.00182901
85,2gj6,-17.1135,-2.41776,23.2675,-22.0276,4.34417,0.320965,-0.289693,-1.11022e-16
86,1lp9,-21.7219,-2.01335,27.3166,-29.336,30.8532,0.363074,-0.435518,0.11364
87,1nam,-12.8079,-0.487814,19.4701,-14.8954,3.12038,0.358247,-0.272695,1.38778e-17
88,2vlr,-14.5919,-0.853491,19.0194,-18.9236,3.30471,0.237149,-0.153235,0.0268437
89,6bj2,-20.7327,-3.12552,27.5591,-26.1856,2.19053,0.722558,-0.692487,0.0
90,2vlk,-15.0481,-1.01704,20.7923,-18.3909,4.56192,0.290983,-0.275571,0.0642526
91,5e9d,-11.8056,-0.529749,12.3575,-17.3516,10.0309,0.833381,-0.29039,0.00354001
92,1mi5,-24.0347,-1.31251,31.7946,-28.9314,27.6341,1.90467,-0.50968,0.0537409
93,6d78,-17.193,-1.36682,23.7751,-21.4412,0.308755,0.667159,0.103749,-5.55112e-17
94,4jry,-19.7398,-9.22763,31.7653,-21.3705,0.853238,0.453624,-0.559535,0.0
95,5isz,-17.2475,-1.32979,21.4504,-22.5638,1.84675,0.917834,-0.207405,0.00339074
96,5c09,-13.4646,-2.60834,16.7733,-17.5475,7.14571,1.91586,-0.354205,-2.77556e-17
97,3qdg,-18.9922,-1.81344,27.4097,-24.0189,3.0281,0.229606,-0.341758,0.0226643
98,4l3e,-18.7616,-2.34396,25.5,-24.4076,1.9822,1.34711,-0.705528,0.0174956
99,5men,-20.9166,-3.26543,29.7932,-26.9749,4.6242,1.10933,-0.365626,0.00341743
100,5yxn,-18.0985,-3.22614,29.6626,-22.1642,3.1846,0.1571,-0.637793,-2.22045e-16
101,4prp,-17.8029,-2.89322,23.8593,-21.1268,14.0084,0.139114,-0.464211,0.0259326
102,6vrm,-13.9087,-3.76175,18.9175,-16.9756,1.44536,0.127843,-0.557344,0.26578
103,1kj2,-14.8801,-5.81648,22.6081,-17.2374,1.92329,0.472697,-0.43679,4.16334e-17
104,3pqy,-13.5791,-2.5502,20.3532,-14.685,4.3503,0.42181,-0.245396,0.4418
105,3pwp,-16.6136,-1.99449,24.4391,-20.6878,5.80289,0.19941,0.00319603,5.55112e-17
106,1g6r,-10.9403,-0.133089,14.3381,-13.5782,0.746249,0.0963534,0.0123473,1.11022e-16
107,3kpr,-21.1819,-1.23146,30.1337,-26.4756,5.83116,0.379195,-0.286886,0.19731
108,5d2l,-16.5819,-0.543963,20.2521,-22.8347,4.68996,1.76388,-0.147769,-1.11022e-16
109,1ao7,-18.0967,-1.9635,26.1401,-22.2734,7.73228,1.02013,-0.31243,1.11022e-16
110,2ypl,-15.8742,-0.042,19.4687,-19.7602,8.61421,0.363122,-0.0382089,0.0
111,3gsn,-15.739,-0.0255965,18.0533,-22.0648,3.79404,0.670661,-0.00613415,0.0
112,5nme,-20.4867,-1.96049,30.1818,-23.4622,4.48723,1.22341,-0.457401,0.00367906
113,5nmg,-20.3017,-1.58257,29.7986,-22.5159,5.48459,0.832795,-0.47631,-5.55112e-17
114,3dxa,-16.2871,-3.88658,24.9123,-18.6059,1.0607,3.29355,-0.77378,0.0
115,6rp9,-11.436,0.312891,13.3915,-14.7156,0.394152,0.00600681,0.143161,2.77556e-17
116,3kxf,-20.3745,-1.97881,26.0996,-25.4352,1.83705,0.15696,-0.29694,0.0122653
117,1fo0,-12.0607,-1.48284,19.216,-13.0464,0.66322,1.28224,-0.124762,1.38778e-17
118,3tjh,-15.3675,-0.247978,20.1443,-20.0932,0.931246,0.536348,-0.0455101,0.0
119,5ivx,-21.246,-5.22533,31.0314,-25.526,4.18063,1.04821,-1.01391,0.0139411
120,4mxq,-14.1537,-1.76032,20.6987,-17.7355,3.30937,0.579887,-0.116406,0.0
121,6dkp,-18.7286,-0.92477,25.9634,-22.6675,3.61158,0.918028,-0.181397,0.00597525
122,3sjv,-17.3623,-2.79055,28.1144,-18.7521,4.51075,0.486394,-0.340577,5.55112e-17
123,4n5e,-17.263,-1.07581,22.9229,-21.8339,3.45952,0.125984,-0.352754,1.11022e-16
124,5d2n,-15.5718,-3.26903,22.1138,-19.1953,2.24171,1.01479,-0.290732,-3.33067e-16
125,5c0a,-12.4171,-2.00089,16.5651,-15.6201,7.28887,1.01842,-0.142263,8.32667e-17
126,3qfj,-17.9071,-3.11863,24.3847,-22.8162,6.27672,0.204895,-0.362235,0.0139069
127,5wkf,-18.0997,-4.44583,25.6132,-21.3708,4.62188,1.67868,-0.950212,-5.55112e-17
128,3tfk,-12.5218,-1.00612,17.0504,-16.1192,0.52455,0.160294,-0.248273,0.0
129,6rpb,-17.7809,-2.16871,22.9751,-22.7679,3.83153,0.325343,-0.313304,0.0100957
130,6q3s,-19.9648,-0.486992,26.6502,-25.5646,1.53532,0.473596,-0.172811,0.0330859
131,4qrp,-20.0647,-2.59403,32.7169,-23.9739,1.71961,1.62835,-0.430703,0.054453
132,3mv7,-19.6589,-4.47499,27.3405,-21.0945,32.7879,0.171304,-1.03769,0.0618252
133,2ak4,-20.1129,-2.10544,28.9367,-24.0884,2.93458,0.571178,-0.0251221,0.0186093
134,3tf7,-10.9046,-1.34885,16.6666,-13.78,24.4866,0.275721,-0.916213,0.0
135,7n6e,-18.4859,-0.211958,26.1743,-22.1222,1.5541,0.40098,-0.226992,-9.71445e-17
136,3d39,-15.8778,-2.66883,22.469,-20.5789,2.70488,0.74563,-0.312983,1.11022e-16
137,2bnr,-19.7381,-0.816423,26.2556,-24.8464,2.78271,0.292346,-0.284525,0.0398199
138,3e2h,-16.3852,-1.97292,21.9183,-20.0415,5.29947,0.533133,-0.107995,1.11022e-16
139,6amu,-18.5916,-0.51519,24.1031,-22.6691,9.78248,0.393207,-0.0509372,0.0180449
140,3h9s,-16.7521,-2.10379,21.1897,-22.036,11.7078,1.29981,-0.379918,0.0179285
141,4g8g,-15.3699,-1.45239,22.2967,-19.6119,2.82166,0.544406,-0.803721,5.55112e-17
142,6tro,-17.8342,-4.20327,24.3219,-21.7356,6.79372,0.811746,-0.708501,0.0342183
143,2jcc,-21.1719,0.25774,22.6809,-29.8236,6.61458,0.332617,-0.352006,0.00878812
144,5yxu,-16.0226,-3.5125,30.026,-18.4745,3.50701,0.774515,-0.428661,-3.33067e-16
145,6vmx,-17.6396,-3.39057,27.6025,-20.329,1.8117,0.689699,-0.288021,-2.22045e-16
146,5m01,-13.1902,-5.77524,22.7575,-14.7443,0.543383,0.0786034,-1.30147,0.0305465
147,1qsf,-15.9163,-3.39302,24.4254,-19.6763,2.93214,0.691916,-0.498377,-1.11022e-16
148,3kps,-21.391,-1.58574,29.426,-26.3698,3.17448,0.968303,-0.357577,0.0262365
149,3vxs,-18.3155,-0.96109,23.5991,-22.9856,1.59624,0.22985,-0.378897,8.32667e-17
150,2ckb,-13.2473,-0.287538,19.2732,-15.4723,1.58397,0.432518,-0.104162,0.0293888
151,3e3q,-17.5394,-2.04071,21.1176,-23.6503,5.11665,0.359826,-0.277195,1.11022e-16
152,4jrx,-17.5153,-1.05575,24.1326,-21.302,2.45817,0.10602,-0.250628,0.00279182
