,Pdb,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,torsional clash,electrostatic kon,energy Ionisation
88,4z7v,-17.1884,-3.54073,24.6576,-19.4496,1.18316,0.16531,-0.120801,0.0819628
90,6cqn,-16.9274,0.688225,25.0472,-20.9012,2.76938,0.327976,0.176376,-1.11022e-16
92,4gg6,-14.7701,-3.09579,19.4527,-17.5609,0.163574,0.324511,-0.13355,0.0713697
94,4e41,-17.4647,-3.48946,29.2292,-20.8848,1.92334,0.349566,-0.699459,0.133088
96,1u3h,-15.2971,-0.78018,22.3497,-17.9292,3.34917,0.193988,-0.362579,-5.55112e-17
98,4p2r,-18.5596,-1.71804,26.6701,-22.1954,1.26561,1.11928,-0.241367,0.0558685
100,4p4k,-15.7989,-3.02258,23.3034,-20.0217,1.70439,0.0531933,-0.787695,0.00770702
102,3c6l,-16.5377,-0.0748448,28.1871,-19.5244,5.63563,0.924565,0.118149,0.0187277
104,4ozh,-19.8916,-1.65262,29.7718,-22.5075,0.778366,0.103908,-0.117331,0.294017
106,4z7u,-17.4737,-3.62724,23.7067,-20.5445,1.21955,0.190466,-0.696525,0.163302
108,4p2o,-22.3342,-2.10607,31.8499,-27.3688,3.38257,0.441149,-0.65605,0.0563554
110,4y1a,-6.39671,0.0388856,13.6435,-7.2985,0.49753,0.834302,0.213258,0.0
112,6mno,-15.2222,-0.281284,20.4744,-19.5427,1.58914,0.618515,0.0726549,0.01552
114,1j8h,-17.5401,-4.53018,27.9756,-24.2704,2.49711,0.772892,-0.44317,0.0527105
116,6mnn,-14.9088,-0.0986562,20.5717,-18.9569,1.77159,0.568187,0.0543204,0.012802
118,4p46,-14.756,-1.58791,23.7804,-18.3652,0.727333,0.30428,-0.239562,0.0106477
120,4ozi,-17.1928,-2.79702,23.0784,-21.1453,1.04615,0.65303,-0.739074,0.0702059
122,4h1l,-19.317,-2.18063,31.0698,-21.9804,12.7107,3.1051,-0.445659,0.0127206
124,6cqr,-16.8681,0.072839,24.3936,-20.6756,0.197729,0.112479,-0.0176584,0.0
126,3o6f,-16.6382,-1.48584,26.7579,-19.3336,3.81741,0.223006,0.00449115,0.074476
