,PDB_ID,Energy_torsion,Kn_electrostatic,Energy_ionisation
90,4l3e,36.8209,-0.653421,1.23555
92,3tpu,56.6326,-0.999223,0.952108
94,5ivx,12.317,-1.87671,0.632292
96,4jry,24.2226,-1.12584,0.896244
98,7jwj,7.03253,-0.907473,0.931563
100,1oga,17.5734,-0.558184,0.982144
102,3mv7,23.0002,-1.11921,0.737607
104,3tjh,27.5052,-0.61777,0.678189
106,5euo,25.2635,-0.703319,1.01209
108,5yxu,33.3688,-1.43319,1.72382
110,3sjv,53.2385,-1.38254,0.536404
112,3ffc,25.0641,-1.48888,0.965576
114,1ao7,28.7439,-0.770209,1.01033
116,5hyj,33.1441,-0.892706,0.957757
118,6vrm,39.2771,-1.10699,1.38109
120,5men,42.5223,-0.585658,1.55891
122,5nqk,15.491,-0.00689408,1.17046
124,3d39,24.2909,-0.65334,0.989333
126,1lp9,17.8375,-0.957611,1.81401
128,6bj2,25.4803,-1.83619,0.840457
130,5nmf,22.5829,-0.405043,1.06183
132,4g9f,7.0034,-1.88924,1.4326
134,3uts,33.3833,-0.8191,1.1131
136,3o4l,40.7108,-0.551478,1.22424
138,5tez,31.4356,-0.484163,1.1213
140,5c08,45.4604,-1.10139,1.32327
142,5c0a,23.0792,-0.244774,0.921638
144,5e6i,53.7328,-0.818695,1.1631
146,4ftv,19.2135,-0.657946,1.19018
148,6rp9,6.17452,-0.17758,1.31653
150,6rpb,3.7713,-0.382864,1.30394
152,5m01,8.28194,-2.34016,0.951695
154,3vxr,11.8357,-1.35669,0.732077
156,5c0b,23.6272,-1.28459,1.10908
158,1kj2,55.0157,-1.80697,0.310585
160,3utt,49.8299,-0.460728,0.997979
162,6amu,9.80862,-0.409993,0.996871
164,5wkf,17.4128,-1.44977,0.646406
166,4mxq,16.5534,-0.764108,0.747333
168,2ak4,15.505,-0.875152,0.478594
170,4n5e,15.6082,-0.623059,0.648939
172,2j8u,7.17298,-0.962063,1.36997
174,3dxa,63.5626,-1.40394,0.769343
176,2f53,21.9968,-0.484611,1.06922
178,4g8g,31.4042,-1.57958,0.843192
180,5tje,33.2493,-2.33864,0.933656
182,2e7l,18.026,-0.815107,0.641311
184,7n1e,25.0779,0.176584,1.07867
186,6eqa,56.5156,-0.510661,1.00487
188,2vlk,22.6243,-0.452473,1.00508
190,3mv8,14.4053,-1.78345,1.46966
192,6uon,40.1083,-1.05288,0.421796
194,5e9d,13.0184,-0.364075,1.24945
196,2p5e,19.1492,-0.589275,1.13086
198,6dkp,11.6725,-0.616434,1.24727
200,3qfj,27.94,-0.444059,1.05973
202,2ckb,72.8839,0.0523005,1.11528
204,1mwa,44.6264,0.0484854,0.953789
206,3qeq,14.8306,-0.91263,1.13658
208,5c0c,23.3208,-1.10375,0.920249
210,6rpa,6.52772,-0.304185,0.88841
212,6tro,13.388,-1.48397,1.3855
214,2ypl,14.2199,-0.885168,0.54874
216,2p5w,18.1911,-0.492223,1.50198
218,2ol3,47.4073,-0.413314,0.558701
220,2vlr,10.2055,-0.531801,0.869439
222,5nht,21.0155,-0.117948,1.13916
224,1mi5,25.6593,-1.72072,1.43827
226,3rgv,81.3038,-1.11979,0.631268
228,5wlg,6.60312,-1.75162,0.958116
230,3kxf,19.7059,-1.05544,0.395202
232,3tfk,30.8606,-0.989777,0.976581
234,4nhu,13.4018,-0.836061,0.70037
236,3tf7,81.4635,1.20563,1.61232
238,3d3v,40.1069,-0.671979,1.04162
240,2bnr,26.4542,-0.60182,1.34386
242,3gsn,47.3458,-0.178131,1.43278
244,3e3q,39.1527,-0.533945,0.523468
246,5m02,10.915,-2.34947,0.875947
248,5eu6,12.2922,-1.13515,1.05759
250,6am5,12.6359,0.0127589,1.26233
252,5d2l,61.5027,-0.292435,1.23652
254,3e2h,50.4615,-0.583719,0.720786
256,6mtm,24.7743,-0.832375,0.708363
258,3kpr,11.7806,-1.18041,1.27354
260,5c09,22.9827,-0.737579,1.14089
262,3qdg,21.2239,-0.150227,1.88995
264,5yxn,21.6975,-1.76148,1.55332
266,1bd2,29.4746,-0.826318,1.61957
268,2bnq,31.2546,-0.633288,1.34131
270,4mvb,17.1771,-0.700863,0.846692
272,3mv9,78.476,-0.881141,0.650528
274,2uwe,5.8059,-0.969963,1.47704
276,4mnq,43.5954,-0.452856,1.39202
278,1nam,53.1486,-0.529383,0.315716
280,5hhm,7.61817,-0.611439,1.01774
282,5nme,31.0355,-0.657952,0.988742
284,5jzi,14.3142,-1.95551,2.03078
286,1qse,51.1551,-0.694954,1.03521
288,1qsf,50.3738,-0.792938,1.04698
290,4qrp,15.1232,-1.65091,0.726739
292,4eup,24.2285,-0.312178,0.914953
294,6vrn,23.9105,-0.735174,1.66753
296,5til,18.0486,-2.15013,0.908941
298,6l9l,16.2686,-0.562845,1.23761
300,3pqy,35.9623,-0.821027,1.14717
302,1qrn,39.7292,-0.947423,1.04443
304,3hg1,67.9884,-0.400533,1.00507
